SSID, BSS, RSSI, Channel, Time
"Sigma", "B4:A4:E3:64:AE:85", "-78", "11", "3:33:56 PM"
"Sigma", "B4:A4:E3:64:AE:85", "-81", "11", "3:34:00 PM"
"Sigma", "B4:A4:E3:64:AE:85", "-78", "11", "3:34:03 PM"
"Sigma", "B4:A4:E3:64:AE:85", "-77", "11", "3:34:07 PM"
"Sigma", "B4:A4:E3:64:AE:85", "-77", "11", "3:34:15 PM"
"Sigma", "B4:A4:E3:64:AE:85", "-79", "11", "3:34:19 PM"
"Sigma", "B4:A4:E3:64:AE:85", "-79", "11", "3:34:23 PM"
"Sigma", "B4:A4:E3:64:AE:85", "-79", "11", "3:34:26 PM"
"Sigma", "B4:A4:E3:64:AE:85", "-79", "11", "3:34:30 PM"
"EventosUAndes", "C0:7B:BC:5B:D9:FB", "-74", "48", "3:33:51 PM"
"EventosUAndes", "C0:7B:BC:5B:D9:F4", "-68", "1", "3:33:51 PM"
"Sigma", "64:E9:50:D1:BE:36", "-58", "6", "3:33:51 PM"
"XPRESS", "00:23:EB:0C:99:7F", "-78", "149", "3:34:00 PM"
"XPRESS", "00:23:EB:0C:99:7F", "-78", "149", "3:34:03 PM"
"XPRESS", "00:23:EB:0C:99:7F", "-78", "149", "3:34:07 PM"
"XPRESS", "00:23:EB:0C:99:7F", "-78", "149", "3:34:15 PM"
"XPRESS", "00:23:EB:0C:99:7F", "-78", "149", "3:34:19 PM"
"XPRESS", "00:23:EB:0C:99:7F", "-78", "149", "3:34:23 PM"
"XPRESS", "00:23:EB:0C:99:7F", "-76", "149", "3:34:26 PM"
"XPRESS", "00:23:EB:0C:99:7F", "-76", "149", "3:34:30 PM"
"Sigma", "64:E9:50:D1:AC:C6", "-71", "11", "3:33:51 PM"
"SENECA", "C0:7B:BC:5B:D9:FC", "-72", "48", "3:33:51 PM"
"XPRESS", "64:E9:50:D1:BE:3E", "-77", "157", "3:33:51 PM"
"Movistar_15617485", "B4:EE:B4:6B:83:50", "-90", "11", "3:33:56 PM"
"Movistar_15617485", "B4:EE:B4:6B:83:50", "-90", "11", "3:34:00 PM"
"Movistar_15617485", "B4:EE:B4:6B:83:50", "-90", "11", "3:34:03 PM"
"Movistar_15617485", "B4:EE:B4:6B:83:50", "-85", "11", "3:34:07 PM"
"Movistar_15617485", "B4:EE:B4:6B:83:50", "-85", "11", "3:34:15 PM"
"Movistar_15617485", "B4:EE:B4:6B:83:50", "-85", "11", "3:34:19 PM"
"Movistar_15617485", "B4:EE:B4:6B:83:50", "-85", "11", "3:34:23 PM"
"Movistar_15617485", "B4:EE:B4:6B:83:50", "-85", "11", "3:34:26 PM"
"Movistar_15617485", "B4:EE:B4:6B:83:50", "-85", "11", "3:34:30 PM"
"Sigma", "C0:7B:BC:5B:D9:F6", "-81", "1", "3:33:51 PM"
"XPRESS", "B4:A4:E3:64:A3:40", "0", "6", "3:33:56 PM"
"XPRESS", "B4:A4:E3:64:A3:40", "0", "6", "3:34:00 PM"
"XPRESS", "B4:A4:E3:64:A3:40", "-58", "6", "3:34:03 PM"
"XPRESS", "B4:A4:E3:64:A3:40", "-60", "6", "3:34:07 PM"
"XPRESS", "B4:A4:E3:64:A3:40", "-74", "6", "3:34:15 PM"
"XPRESS", "B4:A4:E3:64:A3:40", "-64", "6", "3:34:19 PM"
"XPRESS", "B4:A4:E3:64:A3:40", "-64", "6", "3:34:23 PM"
"XPRESS", "B4:A4:E3:64:A3:40", "-64", "6", "3:34:26 PM"
"XPRESS", "B4:A4:E3:64:A3:40", "-63", "6", "3:34:30 PM"
"DIRECT-R4-BRAVIA", "16:2D:27:35:A7:90", "-86", "6", "3:33:56 PM"
"DIRECT-R4-BRAVIA", "16:2D:27:35:A7:90", "-84", "6", "3:34:00 PM"
